;class;question
43;RANG;And when they are arranged in order of size?People are worried if anyone of them will be 26,need at once,so to speak, to prepare nrod young hearts weak 
44;RANG;Good time of day. I have a question: When will be announced recommended for admission, a 27 or 30? And what is the difference these days?
45;RANG;Dmitry,the order of numbers in people who scored the same number of points at the faculty prit switched again.Now they are in accordance with the scores in math or ...?
46;RANG;Hello! Please tell me, how is it that one and the same person, cédric Artem Sergeevich declared in the table submitted the original documents (table 2) and the faculty of Design and faculty of foreign languages???
47;RANG;I'm sorry, but could You tell. How is it possible that online the list submitted 2 incorrect information on the number in the total score? At the moment, for the total score there passed the score of the first exam( and please note that not all!!! that is also confused).
48;RANG;How much it will spread the ranked lists of all the documents filed?
49;HOST;Thanks for the lists, but why not put a list of the contest for the Dorm? It for many is important!
50;RANG;Good day!Please tell me the lists that will be on display July 30 - this will be the first 250 people (the number of budget places for MP and TC ), 180 POS, etc? that is, the child with 222 points will be out of this list?
51;RANG;Good time of day. Would be possible for You to find out if there would be a list of submitted original documents and the Statement-2 to pay the evening. ( posted on the website only the budget ).
52;DOC;Tell me, evidence of CSE MIET already checked in the Federal database?
53;DOC;Tell me, please, is there the possibility of filing documents in electronic form? Thank you.
54;DOC;Can I apply by mail and in electronic form at the same time? Well, that for sure.
55;DOC;Hello! In the application form in electronic form it is possible to specify only the faculty, but according to the rules of admission, the applicant may specify in a particular institution 3 specialties. How to specify them in the statement electronic format?
56;DOC;Where can I find a sample questionnaire?
57;DOC;Tell when applying by post a registered letter will need to send the registration form?
58;DOC;Hello, is there Uvas preferences in any view you want to see an electronic item? For example, the format of documents, maximum size, etc.
59;DOC;What address to send a registered letter?
60;PRIV;Hello,will you play some kind of role either the diploma for the 1st place in the region in the Olympics Kangaroo?
61;ORG;in the section You submitted copies of documents and Statement in MIET – what to do next? it is said that you have to submit the originals until 4 August. I submitted copies now to take the originals chtoli ??????
62;DOC;Hello! I sent documents by mail 12 days ago, the lists I have. I Martijin Vladislav. You got my documents?
63;PRIV;Hello. I understand that 27 will be a ranked list of all students with scores, while 30 will announce recommended?
64;DOC;And to file the original documents will be from July 27?
65;ORG;Dmitry Kovalenko, you are told to call in MIET it will be necessary for the receipt, or podlinnike can be submitted without it??
66;DOC;Hello. And certainly the person the documents, submit these documents? Whether it is the original to pass through other people? Just not able to come until 4, I will be 5.
67;DOC;Hello. If I plan to send documents by e-mail,do I need to print a statement 1 and scan it? Or just to fill in on the website,and then send the required documents?
68;DOC;Good day!Please tell me.What documents should I prepare for admission to the first year? And when you need to take pictures after transfer or when applying to College?
69;PRIV;Good day!I have a huge number of letters (from sports to creative).If necessary, they need to submit?And it will play any role in admission?
70;DOC;What documents must be submitted to the admissions office for admission?
71;DOC;Hello, whether together with other documents to send the certificate exam?
72;DOC;Hello. Is there a need to certify any documents(for admission) at the notary?
73;DOC;What is the email address.mail to send the scanned documents required for admission (there is everything, except for the certificate exam)?
74;ORG;Hello. I Zelenograde and before the end of all exams, wrote the application for admission to the faculty of the MP in the target set. Now, after the exam, I would like to do on a General basis on the same faculty, MP and revenues on target to give. Is this possible?
75;DOC;Hello. I fill out the application,but I have no certificate. I enter the data the exam and then when looking at this statement, information about my missing points. How to be?
76;DOC;Hello! but you can first fill in the application without the certification Exam, and then come with printed and submit the documents?
77;DOC;Hello, can I submit documents via e-mail and where will be posted the lists of recommended for admission?
78;DOC;how long will the admissions Committee reviews the application sent by email. mail?
79;DOC;Hello! What address to send copies of documents and what kind,thank you! A registration form on your website, why is it necessary, if I am not able to come to Moscow and give it to you personally?
80;ENTER;Tell the specialist you present or just graduate with a bachelor degree?
81;DOC;I understand that copies of the documents, including signed statements from the registration page, you can send an email? I would like to get a precise answer.
82;ENTER;Hello. Would like to know on what days does the enrolment committees, and can I bring the originals of all required documents for admission? As specifically decided on the choice of the UNIVERSITY. Play the role that I graduated from College in the profession (repair and maintenance of electronic equipment).
83;DOC;Hello, I can not send my application all filled except for the certificate exam, but not sent. Gives an error, complete all fields highlighted in red, but nothing highlights What to do?
84;DOC;The question on the registration form. All scores on the exam, but the rooms of the CA yet. When forming the printed application form scores on the exam do not appear. What to do?
85;DOC;The same situation as that of the Guest. Scores do not appear on the exam... reap their own to make the black pasta in the form and sign it, after send you the scanned list? As is the case with the photographs and copies of certificate and passport, where to send copies? if they need a course...
86;RANG;Hello, when will be declared the recommended list for admission?
87;DOC;Hello,is it possible to send documents by email?
88;DOC;is it possible to bring the documents relative to the admission Committee ?
89;DOC;Hello, can I have one now with the original of the certificate to mail you the statement-2?
90;DOC;Hello, filled out the registration form, but print it at home is not possible, but is it possible somehow to save? or, you can send documents without it?
91;DOC;Hello.what documents need to submit for admission?
92;RANG;Anna manohina,a list specifying the points will appear on this week?
93;DOC;Ask, why is Statement 2? It must be sent to the address of Admissions?
94;RANG;Hello,I filed the original of the diploma and certificate,and the list of applicants No. 2 I have 0 points why? My No. the case of Mr. 1538.
95;RANG;Hello! I have successfully applied in your University in the list I am. I would like to ask the question-when will we know if I passed the points or not? When you see a guarantee that I can take the original documents to your University?
96;DOC;Hello,if I send a statement via e-mail, do I need to appear in person?
97;ENTER;August 4 is the deadline for documents and how much time ends this procedure?
98;ENTER;Hello,despite my call 4.08 16.40 with a request to leave me in the lists at the faculty of MP and TC, my name is still moved to the faculty of the POS. If I've lost the chance to get on a budget for the faculty of MP and TC in case of vacancies in the second wave? In the absence of budget places , can enroll in paid training on MP and TC? Thank You all so much for the detailed answers, patience!!!
99;RANG;Orders of enrolling me no,I have 155 points.See that vacant budget places at all faculties. Please tell me whether the second wave of enrollment or the admission to state financed places is restricted to a pass grade 190 (Nitk), 174 (ETK), 155 (ATMO)?
100;RANG;tell me where to look for lists of enrollees???
101;ORG;Hello.How groups will be formed at the faculty of prit?We are from the Wedge were in the same class and all are enrolled on a budget,whether it's somehow taken into account when forming groups,I would like to continue to receive education together,and ride more fun and safer.Thank you.
102;ORG;Hello!!!I have a question)))how many years can I apply for a Inyaz))*????
103;DOC;Hello,can I pass through familiar originals of documents if it appears in the list recommended for admission?do you need to issue a power of attorney?I will be financially difficult to bring in Zelenograd
104;DOC;a sample of application for admission 2011? I can not find...
105;DOC;Hello! When applying on the flow statement you need to write to the rector?
106;DOC;Tell me, please, to have photocopied all the pages of passport or only those where the photo and issued by whom?
107;ORG;Hello!Tell me,please:how many departments can I apply in your Institute?
108;ORG;Hello ,I would like to know about accreditation , which is valid until 3 July 2011 . when you will be re-accredited ?
109;DOC;Hello. I'm going to change the name, so the passport will have a new name, and all other documents necessary for admission have remained with the old name. To replace them I don't have time. And certificate with the results of the exam will be with the old name and everything else. In addition to passports. Tell me whether you to the admissions office to provide proof of the name change? Or so to solve this problem fail?
110;DOC;Good day! I would like to clarify at what stage of admission must bring a certificate of the form 086-y. And is it possible to bring it back later? Thanks in advance for your answer.
111;RANG;Hello! And when will be posted the grades of all applicants submitting the documents?
112;ENTER;Tell me,please, is running the selection Committee August 1?
113;RANG;August 5 will be credited only in those who have been in the lists of recommended and filed the originals? Ie, is sure to be 2nd wave?
114;ORG;Hello! In statement 1 I have indicated the budget and paid training. Handing over the original documents,statement-2 indicated only a paid form of education.Have I stripped myself the chance to train on a budget if there are vacancies? What you need to do in this situation? Thank you.
115;RANG;Hello! I would like to know, will be published at the office. the website the list of applicants who submitted documents in MIET, with their exam scores?
116;RANG;Hello! I would like to enter the faculty of Nitk , I have the results of the exam last year, 232 points. in ranked I'm below 250 seats. already submitted a lot of originals(about 235). if You get 250 people to 4.08 will you close the appointment?(that is if I original filed people with scores less than me and I'm up to 4.08 bring the original with bolshim points can I claim them?)
117;RANG;Hello, applied for Ineup 215 points, what is the probability that I may be credited on 5 August on a budget?
118;RANG;Hello! I submitted the original documents in the first days of reception of documents on the faculties of the POS and ATMO. The priority chosen by the POS and statement-2 wrote on this faculty. I have 197 points and the situation today is already almost the end of the list. What chance do I have to enroll in the POS ? If the odds are not great, you need to write a statement until tomorrow-2 of ECMO and how to do it:call admissions office or need to come?
119;RANG;Please tell me, what do you mean highlighting in green in the list of submitted originals?
120;RANG;Good day!As far as I know, in the first wave are only those students who are on the list recommended for admission, and who brought the original documents to 4 August.But you write that the contest is held among all submitted the originals to the 4th of August. I noticed in the lists submitted, the originals are persons who are not recommended for admission, rather they are much below the marked lines. Do I understand correctly, they will participate in the first wave? Thank you.
121;RANG;Hello, I scored 216 points, is it possible to enter the faculty of foreign languages in the first wave?
122;RANG;I understand that the question has already been discussed, but clear yet. For example, on July 27, someone was 151st in ratinova list of ATMA were NOT recommended for enrollment and did NOT bring the original up to the 4th of August. If he can be in the list on 5 August? Or there will be only those who brought the original documents to 4 August, ie, 165th, 201st, etc?
123;RANG;Hello. Please tell me if I do not get to the list of rekomendovannyh to study on a budgetary basis, can I be on the list, recommended for training on a paid basis? And if my name is not in the list of those recommended for training ( in which case, is that possible?)- the original documents can never bring? Or is it better anyway to bring the original documents? The statement I pointed out a budget and paid forms of education. Thank you.
124;RANG;Please tell me if by law, all entrants are equal, and recommended for admission will be students with the highest number of points, then why do students go to the two lists submitted, and no certificates, and the rating by the number of points for the latter is not even considered. All animals are equal, but some animals are more equal than others? Thus it is difficult to judge whether we have chance or not. Please make a General list, if reception conditions for all equal, as You say.
125;RANG;That is,if I wasn't in the recommended list,I decided to file the original in the second wave,did not enroll,although I,for example,200 points on the exam,because someone brought the original 1-wave in the free space with,for example,120 points?
126;RANG;Dmitry, tell me, say I want to go to the POS and ATMO. POS is a priority for me. But I'm afraid I pass on it, since I have a total of 182 points, and the pass was 188 last year.. On ECMO ,I think, has to go through. So, there is a possibility to try himself in the second wave on the POS, but if you still won't be there in the second wave,it is possible to stay on ECMO? Because statement-2 is indicated 1, the faculty, and I want to POS(even in the second wave), but if anything, ATMO go, to not stay with empty hands))
127;RANG;Thanks) As I understand it, the second wave is better not to wait, and to apply for Atma as POS 0 chance to pass?? And also, can I transfer then to the United ATMO POS? many of these cases in the Miata?))
128;RANG;Hello, I submitted the originals to atmo and would like to do with the hostel,statements 2 I said I need 167 points at the moment, I am still with the list, I have a question can I participate in the admission process if I will not get into the hostel and the school budget pass?
129;RANG;Hello. And the second wave in the Miata would not be?
130;ORG;Hello, please tell me, will it be possible later to move from faculty prit na MP or POS, if there are empty seats?
131;ENTER;Tell me, at the moment, how many funded places left free after the first wave?
132;ENTER;Here you have on the website says there is one vacant seat on Nick. Whether it is possible to book this place with the condition that I bring the original in the specified period??? Or also the competition will be among those who brought the original???
133;RANG;Hello! Tell me,this year the wave will continue till the 25th of July,ie the results of the income I after 25?
134;RANG;Hello.All day today I tried to call the admissions office and could not.If submitting originals I'll leave two options Заявления2 POS and ATMO and on the website you will see that POS already and will not pass through can not will take into account my second statement automatically?And is there any chance for me to get to POS at 199 points?
135;RANG;Good day! That's all there is to read, and there are still some misunderstandings. I passed the documents in 5 different Universities. Everywhere I'm still in reserve,but I hope that I'll get in the second wave. Do I have to submit the originals in one of the universities where I have more chances to pass? Or I could wait for the 2nd wave and then selecting the University where I was to provide the originals? Explain,please! Thanks in advance!)
136;RANG;Hello, If already issued orders about transfer and all vacancies on the budget are busy,does this mean that there will be a second wave of enrollment? Thank you
137;RANG;Please tell me if I am already enrolled in the POS in the 1st wave, then is it possible to be enrolled on MP in the 2nd wave ?))
138;RANG;Hello!Please tell me my daughter is in the lists of recommended for admission she has 145 points we submitted to the budget but on the list it 689 when we got the script we were told that the budget will get hardly we filed to pay even without knowing the result .She can get on a budget and how then can we be if we have already paid for.? Thank you.
139;ENTER;Hello, please tell me, does it ever happen that after the enrollment in the second wave, some budget places? If so, who they claim? Thank you.
140;DOC;Hello. Please tell me when submitting documents by mail which address to send the letter? And what should be in the letter in addition to Declaration. Which documents can be submitted already with the original at receipt and immediately what's in the letter? And what about the faculty Priit: here it is possible not to count on a hostel? or if you run out of space in the Dorm at other schools that can count in place? Just don't want to be on the street...
141;DOC;please e-mail to which to send copies of the documents and what mark they should be sent?
142;DOC;Hello. I sent you the documents by mail. But the statement did not specify the ID number of the citizen, subject to conscription for military service. They will be considered my documents?
143;DOC;what email address should I send?
144;DOC;sorry but copy what is the General statement necessary? just in the other institutions, a separate online application and regular which you can print and send, they are significantly different...
145;DOC;Hello again. Such a stupid question. Do I now send mail to the admissions office copies of documents? Or enough of the claim on the website?
146;DOC;I don't think 13,8 MB is a lot. It is possible to discover bug or not? Can be my documents have reached?
147;DOC;Thank you. Without You even would have long puzzled(( had to send three messages. The selection Committee reacts according to the latest adopted letter?
148;DOC;Hello. I sent the letter by mail 6.07, the post office said it would be delivered within 3 days. today 11.07 ,and my name is still not on the list who submitted the application. please tell me what can I do?
149;DOC;Hello, it's okay that copies of the documents a bit less than their real size(but printed on A4 paper)? It happened because I'm not photocopied, and scanned,and then printed the documents at home and did not notice at first. And after sending thought it might be important. You take such copies? The text of the documents is the same legible, just a little smaller.
150;DOC;Good day! documents sent 10th July, today the lists I have... I want to clarify the letter arrived from Garifullin Azat ildarovich??? thank you
151;ENTER;25 chila till the reception?
152;DOC;Hello, and scanned copies of the documents and statements necessary to send regular mail? And if so, at what address?
153;HOST;You can learn, and students faculty of foreign languages this year, are not provided with accommodation?
154;DOC;Good Day! I would like to know where you can download register.form? Just are not able to print the form ,so you need to throw on a flash drive.
155;DOC;Hello! Sent the documents by mail. On the website Russian post written: 09.07.2013 07:50 124498 Moscow 498 Arrived at the place of delivery...... and the lists I still havent!!!... Please understand, very worried!!!...For what period of time my documents will be registered?... Thanks in advance!
156;RANG;Hello,when will be exhibited the list with scores?
157;DOC;Hello! Is it possible to send the documents to the admission service of Express delivery DHL EXPRESS? If not, what other delivery services you can send letters to?
158;DOC;Hello. And 6 photos of 3x4 must provide for each selected Department?
159;DOC;please tell me if I have listed the documents required for submission to the admission Committee?photocopy of the certificate and of the results of the exam the certified health certificate, photocopy of passport, targowego certificate, birth certificate. and that extra? and how to get application for admission?please help!
160;ENTER;Tell me, do you accept the results of the exam? plus entrance or in the University?
161;DOC;Tell me,please,a medical certificate must be provided when enrolling?
162;DOC;Hello would like to know whether it is possible to come to MIET to submit an application without evidence of the results of the exam??
163;ENTER;you can find out when running the selection Committee??if I come 3 July,Saturday,will it be possible to apply to this day?
164;DOC;where on your website you can find the application form of the applicant (which is filled in by hand)? The link they gave us in the admissions office, is only the registration form!
165;RANG;1) At the same points whether or not filed the original documents in the preparation of lists of recommended for admission?
166;DOC;Explain,if I give the Commission the originals of whether can get copies of them?Provided that I'm not going to apply to another UNIVERSITY.
167;DOC;Hello. I'm going to send the documents by mail. Tell me, please, if I chose 3 specialty, I have to send 3 applications, even if these specialties in a single Department? And sets of documents (passport, certificate) must be one or three? Do I need to apply liner with a ratings certificate?
168;DOC;Hello, can you explain what to write in the details of the Olympics in completing the questionnaire?
169;PRIV;Hello, I am a medalist step into the future technology. when you specify the Olympics. in the name of the subject to write that? subjects had 2 math/physics, this answer is no. And about the details of the Olympics, the Olympics is not in the details specified and informed. in requisite only the name? thank you in advance)))
170;DOC;Hello, in the registration form in the passport data is an index, what index is it? And in the field (e.g. mathematics) to specify the number of points?
171;DOC;Hello. I still do not have on hand certificate exam, but I know their scores in each subject. Accordingly, the application form I can not fill completely. Enough to apply only a passport, school certificate and their copies? And what about the exam??
172;PRIV;Hello, I'm a medalist step into the future equipment and technologies for complex subjects(physics and mathematics) a number list 63 in the graph.. the subject I what to write? and what to write in the column details?
173;DOC;Hello! The statement must specify the number of the certificate, and the code series is not necessary to specify?
174;DOC;good day!please tell me!I napechatal the application for admission to your University!I'm not a local and want to send a statement in the form of a letter.question-do I need to immediately send a statement copy of passport ,copy of certificate,exam, and a copy of the certificate with a photo?please answer and what address to send a letter??and then someone who does not
175;PRIV;Hello, ponimaniye Olympiad complex subjects, i.e. which object from complex to write? And explain the basis of specific data what to write in the details, if not room?
176;DOC;Today received a certificate of the exam documents to the admission Committee already passed, do I need to bring a copy of the certificate exam ? Or you can bring already with the filing of the originals when enrolling?
177;DOC;Please tell me where to what address do I send the documents by mail?
178;DOC;Hello! Tell me, assure copies of documents by a notary necessary? And if it is done in the admissions office, this fee?
179;DOC;Hello, please tell me, I would like to clarify, for admission to the first course in the application along with documents sent by mail, it is not necessary to specify a specialty, what would like to get, but only the faculties, if necessary, how you can specify them all?
180;DOC;Tell me please, to 4 August, the applicant must supply the originals of all required documents to the admissions office or it can be done by relatives? I'm afraid that I will be in Moscow during this period. Thank you.
181;PRIV;Tell me,what is the target set and how it differs from budget,why is the table set for the faculties of written Budget,including a target set(180 seats,for example)That is,the target set has some advantage over just the budget places?
182;DOC;Irina,what is the statement number 2,when it is served?Is it possible from when submitting documents to tell the Commission about the priority the Department?For example in humans 219 points,he does specifically for prit,but for insurance submits an application for a further two faculties,as it has the exam and in physics,that is just to tell the Committee that when the flow more to some faculty(maybe both)in addition to Prita,his documents were aimed at Prov!With Respect!
183;RANG;Who has the advantage in case of equal points?
184;RANG;Please tell me ? And the competition is held on the original documents ilikepie
185;ORG;Has a dress code? In shorts you can roll up?)))
186;DOC;Hello! Do I need to certify copies of documents sent in the mail?
187;DOC;Hello. Please tell me at the passport copies of all pages to do?
188;DOC;Tell me please, is it required to submit original certificate of the exam and to what number.Or enough data about the results of the exam that you already have? Thank you.
189;DOC;What documents need to notarize ?
190;DOC;The certificate exam is only a week.You can apply without it?Thank you.
191;DOC;Photocopies of any documents should be sent by post and how long you need to provide the original?Thank you!
192;DOC;Hello, when filling out paperwork in the admissions office indicated the wrong number of the certificate, but surrendered a faithful copy. What do I do? Do I need to call the admissions office?
193;DOC;Hello! During filling in the registration form of the applicant I entered all the data and sent them to the admissions office, but print Statements to 1.2 due to technical reasons I wanted later. And I have a question: is it possible for me to print these statements, when I, as expected, reset the data? Or it turns out I have to fill the registration form of the applicant for admission, send the admissions office and immediately print? Thank you.
194;DOC;Hello, I have a question on sending documents by post, the Mail Delivery System sends an error message sending, the message is not delivered. What to do and how to be??? Documents for limited time-email already sent, but e-mail can't 
195;DOC;Please tell me, and if I didn't apply until the 25th of July, now it is not anything to do?
196;RANG;Tell me,please,I have on the list,reporting on a budgetary basis.What are my chances to pass with a score of 162?Thanks in advance.
197;HOST;What are the chances of getting a Dorm with a score of 162? From statement 1 I submitted at the POS,ATMO and Nick,sayline 2 -Nick.Can I go on ECMO?Thank you.
198;PRIV;include-whether tseleviki in the total number of seats or do they go separately?
199;ORG;"Please tell me, if I go to the faculty of POS, what is the probability that in the future I will study at the Department ""Design and engineering of integrated circuits"" ? When and how is the further distribution to departments?"
200;PRIV;Hello. Tell me, please, if the applicant enrolled at the target and he enjoyed all the originals, does it need to provide some more documents or to come to sign something, if so, in what time frame. In General, what are the next steps?
201;ORG;The particular person put all the documents on the list. And when a contract, obtained a student card, maybe something else is some kind of a meeting, acquaintance, etc.? Thank you.
202;RANG;Please explain the following situation. We have provided the original POS with the hostel. The result of the exam - 217 points. If this score is enough for getting a Dorm (say, we will 311, God forbid), we are eliminated from the competition at all? Or whatever we do in MIET, but without dormitories. In the statement we said that we need him.
203;RANG;obtained the diploma with his grades not important at all?the main thing as luck on the exam?
204;RANG;if I go to a paid Department with a score of 162,if I pass on a budget?
205;DOC;Please tell me one more time. What information is relevant at the moment about the documents and statements you need to submit for admission to the Evening faculty or faculty up TO? on the page where the necessary Declaration as to the link apply for admission in MIET and inactive reference Statement 1.
206;DOC;Hello, intend to apply by email. mail. You can throw the rules apply to email?
207;ENTER;I want to go to your high school to year 2 for faculty POS.Finished 1st year CSU without 3.What are my chances of getting a budget room and it is necessary-whether to take any exams? thanks in advance for your answer.
208;ORG;How to make a call to the Dean POS and see the availability of funded places for 2 year on this faculty?
209;DOC;Hello! In my arms instead of honey. policy temporary certificate attesting to his registration. The new has not yet done. Can I submit a photocopy of provisional certificate along with other documents?
210;DOC;If the applicant is recommended for enrollment in the second wave, what is the deadline to submit the original documents? Is there any chance for admission in the second wave to earn a place in the Dorm?
211;ENTER;Hello! We have a similar situation: a certificate with results of unified state examination the son of June 30, 2009, the army took him away June 16, 2010, was demobilized on 16 June 2011. Will there be real results this summer? Thank you in advance for the answer.
212;ENTER;After school, I go to the army whether the actual results of the exam and whether it is necessary to take extra exams if I want to go to MVD or FSB?
213;ENTER;HELLO.I AM INTERESTED IN THIS QUESTION.I GRADUATED HIGH SCHOOL IN 2010.AND IN THE FALL WENT INTO THE ARMY.BACK IN THE FALL OF 2011.CAN I DO THE EXAM 2010?
214;ENTER;Hello,I am a student mpitch,1 year,belmouden for the summer session,passed 1 of 4 exams and became seriously ill and went home in Chuvashia,in the end, missed the remaining tests and the first wave of mulligans.can I count on the fact that I will only need to come in late August and to pass these 3 exams in the second wave of mulligans?thank you for your attention!
215;ORG;how to contact Dean if the Dean is now on vacation?heard still the Dean appears at the Institute
216;ENTER;Hello, I graduated from high school in 2009, enrolled at the University, but for family reasons in the middle of winter session 1 course took the documents, when talking about the relocation, said the first course do not translate, in 2013, I will have to take re-take the exam, depending on what University I want to do?
217;ENTER;Hello! my son after the 1st semester in 2011 was expelled from the University (written statement of appeal to the army). July 6, 2012 was called. In 2013, after the service decided to enter again in the same UNIVERSITY. Whether actual results exam-2011 for admission in 2013?
218;ENTER;Hello,I have a problem. Finished school in 2011,in the same year, did not like,left. Wanted to go into the army,and me for more than six months are not taken,the agenda behind the agenda,already tired to walk.another gave 22апреля,I am sure that this number will not take,will I be able to do that again?and how do I explain this situation to the University?
219;ENTER;Hello! My situation is this: son in the summer of 2012, was expelled from the University after 1 year. He received a summons in the autumn, came to the draft Board, then the second. In parallel we are preparing to enroll in a new University in the summer of 2013. If he does have the right to take the army? And if you take away the first year - he could well recover next year?
220;ENTER;Hello, I was taking the exam in 2012, IN the UNIVERSITY documents not filed, that-that was going to go into the army, but it did not happen. Can I this year (2013), pass the entrance exams to the UNIVERSITY and along with this file already has the results (valid from 2012)? Or only one of the two (the entrance exam and a valid certificate). Thank you.
221;ORG;Hello!Please tell you Your answer from 26.04.Natalia.You write that all the students of MIET have a reprieve.Also You answered me last year.But the truth is that perpetuelle student deferment.My son in may 2012 took the documents from one institution and enrolled in MIET.He is now completing the 1st year(if you will)and April 1 we are at war with the military enlistment office to give to pass the session.Where is the promised calm.
222;ENTER;please, explain me please - this year my son finished 11th grade, my son to College has not held a ball ,and decided to go into the army (falls on the autumn call) whether a valid exam until 2015?
